# WINGS                 Bar   Color                 logM2               
  J004324.04-095055.2   0     0.8810005187988281    10.9069714740356    
  J004305.04-095110.3   1     0.7429981231689453    9.204038536660983   
  J004242.55-095053.9   0     0.5580024719238281    9.57322562617755    
  J004308.18-094937.3   0     0.7250003814697266    10.302856695500253  
  J004228.37-094938.3   1     0.7299976348876953    9.455240887005663   
  J004221.89-094922.6   1     0.8329963684082031    9.70615683905602    
  J004223.27-094846.6   0     0.7959995269775391    10.462291644129794  
  J004135.14-094836.8   0     0.7789993286132812    10.362129838694484  
  J004302.00-094640.2   0     0.6440010070800781    10.339920275885403  
  J004251.68-094624.2   0     0.9060020446777344    9.637918788575004   
  J004255.55-094455.2   0     0.8380012512207031    10.29883126947799   
  J004237.07-094520.4   0     0.7750015258789062    9.784783419499439   
  J004243.91-094420.7   0     0.7469959259033203    10.533456839101012  
  J004240.33-094416.7   1     0.6829986572265625    10.126848696548418  
  J004205.47-094442.1   0     0.7879981994628906    9.645809238003789   
  J004330.48-094359.4   1     0.48600006103515625   10.26541222483496   
  J004027.53-094312.4   1     0.8700008392333984    10.856414695470386  
  J004157.02-094247.4   0     0.8519992828369141    9.888542845796525   
  J004252.80-094213.7   0     0.7649993896484375    10.61156611592918   
  J004310.91-094053.8   0     0.7239999771118164    10.896237321103577  
  J004241.39-094207.5   0     0.7980003356933594    9.547855909633396   
  J004145.45-094033.1   0     0.5580024719238281    9.966961638713775   
  J004210.13-093956.7   1     1.0359973907470703    9.751175130371603   
  J004311.59-093816.1   1     0.7089986801147461    10.793692622518671  
  J004218.48-093912.5   1     0.7010021209716797    9.777643567519712   
  J004153.43-093845.7   1     0.7200050354003906    9.09491814146704    
  J004028.93-093729.8   0     0.9539966583251953    10.36717321983363   
  J004225.53-093708.8   0     0.8629989624023438    9.223970718521697   
  J004206.01-093606.3   0     0.6620006561279297    10.18106574752678   
  J004317.86-093551.1   0     0.7679958343505859    9.873942824852989   
  J004248.38-093440.6   0     0.6240024566650391    10.190874924064095  
  J004053.21-093506.5   0     0.8250045776367188    9.722791819093233   
  J004143.73-093504.2   0     0.7940006256103516    9.491173939972638   
  J004308.10-093444.6   1     0.6209983825683594    9.871962096797944   
  J004244.67-093316.2   0     0.8819999694824219    11.139362670851662  
  J004137.23-093253.2   0     0.7110004425048828    10.21865627427845   
  J004046.78-093301.4   0     0.8319988250732422    10.303925748056153  
  J004215.90-093252.1   0     0.9580001831054688    11.060947027448634  
  J004112.78-093203.6   0     0.6440010070800781    11.149471610742372  
